项目编号,项目名称,健康度,复杂度,项目状态,当前PM,分类,部门组织,业务部门,产品族,门禁状态,立项状态,建议分级,产品经理,技术负责人,数据批次
P065,统计结果简单描述生成（SAR）,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,统计结果简单描述生成（SAR）,,,,胡洁,,2026-W25
P066,MedCalc结果格式转换（TFL）,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,MedCalc结果格式转换（TFL）,,,,胡洁,,2026-W25
P067,诊断疾病归类,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,诊断疾病归类,,,,胡洁,,2026-W25
P068,文件对比,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,文件对比,,,,胡洁,,2026-W25
P069,受试者入排智能审核,,,待立项,,临床,临床研究组织（CRO）,临床开发部,受试者入排智能审核,,,,张颖超,,2026-W25
P070,法规自动检索,G,4,待立项,,临床,临床研究组织（CRO）,医学科学部、药物警戒部、医疗器械部,ClinAI临研助手,G0,,B,张颖超,,2026-W25
P071,方案回复,G,6,待立项,,临床,临床研究组织（CRO）,医学科学部,项目助理数字员工,G0,,A,张颖超,,2026-W25
P072,入排预筛审核,G,6,待立项,,临床,临床研究组织（CRO）,医学科学部,ClinAI临研助手,G0,,A,张颖超,,2026-W25
P073,文献自动检索,G,6,待立项,,临床,临床研究组织（CRO）,医学科学部、药物警戒部、医疗器械部,ClinAI临研助手,G0,,A,张颖超,,2026-W25
P074,文献信息提取,G,4,待立项,,临床,临床研究组织（CRO）,医学科学部、药物警戒部,ClinAI临研助手,G0,,B,张颖超,,2026-W25
P075,财务赋能工具,,,待立项,,临床,SSC（共享服务中心）,财务部,,,,,陈放群,,2026-W25
P076,法务问答小助手,,,待立项,,临床,SSC（共享服务中心）,法务部,,,,,张颖超,,2026-W25
P077,行政部问答小助手,,,待立项,,临床,SSC（共享服务中心）,行政部,,,,,张颖超,,2026-W25
P078,CSV验证,G,6,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,G0,,A,景孟博,,2026-W25
P079,安全测试数字员工,G,6,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,G0,,A,陈放群,,2026-W25
P080,PBA 数据转换,,,待立项,,临床,共享服务中心（SSC）,PBA,业务Agent-PBA数字员工,,,,朱思婕,,2026-W25
P081,IT Service企微数字员工,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P082,运维数字员工-网络组,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P083,运维数字员工-服务器组,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P084,运维数字员工-系统运维,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P085,备份数字员工,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P086,恢复数字员工,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P087,变更数字员工,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P088,CRM企微智能问答数字员工,,,待立项,,临床,共享服务中心（SSC）,IDT,业务Agent-IDT数字员工,,,,朱思婕,,2026-W25
P089,上下文一致性核查,,,,,临床,临床研究组织（CRO）,医学科学部,业务Agent-上下文一致性核查,,,,陈放群,,2026-W25
P090,AR收入仪表盘,,,,,临床,共享服务中心（SSC）,财务部,AR智能报表平台,,,,张颖超,,2026-W25
P091,总账重分类应收账款报表自动化,,,,,临床,共享服务中心（SSC）,财务部,AR智能报表平台,,,,张颖超,,2026-W25
P092,Aging Report自动化,,,,,临床,共享服务中心（SSC）,财务部,AR智能报表平台,,,,张颖超,,2026-W25
P093,房租、水电、物业自动摊销,,,,,临床,共享服务中心（SSC）,财务部,总账费用摊销,,,,张颖超,,2026-W25
P094,海心研发人工费按项目自动摊销,,,,,临床,共享服务中心（SSC）,财务部,总账费用摊销,,,,张颖超,,2026-W25
P095,项目代垫费总控管理,,,,,临床,共享服务中心（SSC）,财务部,AP总控管理,,,,张颖超,,2026-W25
P096,收入智能报表平台,,,,,临床,共享服务中心（SSC）,财务部,收入智能报表平台,,,,张颖超,,2026-W25
